day,current,phi,stage,stage_combined
356,0.2086,0.0684556012407126,D,D
357,0.2068,0.0671571809853567,D,D
358,0.212,0.0709081728341628,D,D
359,0.2031,0.0644882060160138,D,D
360,0.2142,0.0724951309240424,D,D
361,0.2226,0.078554425449037,D,D
362,0.2098,0.0693212147442833,D,D
363,0.2142,0.0724951309240424,D,D
364,0.2168,0.0743706268484454,D,D
365,0.2084,0.0683113323234509,D,D
366,0.2137,0.0721344586308879,D,D
367,0.2123,0.0711245762100555,D,D
368,0.2133,0.0718459207963644,D,D
369,0.2067,0.0670850465267258,D,D
370,0.2134,0.0719180552549953,D,D
371,0.2175,0.0748755680588617,D,D
372,0.2254,0.0805741902907018,D,D
373,0.2218,0.0779773497799899,D,D
374,0.2317,0.0851186611844478,D,D
375,0.2086,0.0684556012407126,D,D
376,0.2221,0.0781937531558825,D,D
377,0.2169,0.0744427613070764,D,D
378,0.2332,0.0862006780639111,D,D
379,0.2096,0.0691769458270215,D,D
380,0.2096,0.0691769458270215,D,D
381,0.2119,0.070836038375532,D,D
382,0.2,0.0622520377984563,D,D
383,0.2131,0.0717016518791026,D,D
384,0.2116,0.0706196349996393,D,D
385,0.2192,0.0761018538555868,D,D
386,0.221,0.0774002741109428,D,D
387,0.2336,0.0864892158984346,D,D
388,0.2265,0.0813676693356416,D,D
389,0.2146,0.0727836687585659,D,D
390,0.2124,0.0711967106686864,D,D
391,0.2238,0.0794200389526076,D,D
392,0.2096,0.0691769458270215,D,D
393,0.2352,0.0876433672365288,D,D
394,0.2303,0.0841087787636153,D,D
395,0.2174,0.0748034336002308,D,D
396,0.2078,0.0678785255716656,D,D
397,0.2327,0.0858400057707566,D,D
398,0.2212,0.0775445430282045,D,D
399,0.2324,0.085623602394864,D,D
400,0.21,0.0694654836615451,D,D
401,0.2183,0.0754526437279088,D,D
402,0.2235,0.079203635576715,D,D
403,0.2241,0.0796364423285003,D,D
404,0.2205,0.0770396018177883,D,D
405,0.2294,0.0834595686359373,D,D
406,0.2162,0.0739378200966601,D,D
407,0.2239,0.0794921734112385,D,D
408,0.2264,0.0812955348770107,D,D
409,0.2298,0.0837481064704609,D,D
410,0.2317,0.0851186611844478,D,D
411,0.2174,0.0748034336002308,D,D
412,0.2144,0.0726393998413042,D,D
413,0.2373,0.0891581908677775,D,D
414,0.23,0.0838923753877227,D,D
415,0.2217,0.077905215321359,D,D
416,0.2404,0.091394359085335,D,D
417,0.2293,0.0833874341773065,D,D
418,0.2381,0.0897352665368246,D,D
419,0.2295,0.0835317030945682,D,D
420,0.2458,0.095289619851403,D,D
421,0.2437,0.0937747962201543,D,D
422,0.228,0.0824496862151049,D,D
423,0.2381,0.0897352665368246,D,D
424,0.2358,0.0880761739883142,D,D
425,0.2419,0.0924763759647983,D,D
426,0.2236,0.0792757700353458,D,D
427,0.2371,0.0890139219505157,D,D
428,0.2404,0.091394359085335,D,D
429,0.2182,0.0753805092692779,D,D
430,0.2232,0.0789872322008223,D,D
431,0.2166,0.0742263579311837,D,D
432,0.2311,0.0846858544326624,D,D
433,0.2394,0.0906730144990261,D,D
434,0.246,0.0954338887686647,D,D
435,0.2349,0.0874269638606362,D,D
436,0.2476,0.0965880401067589,D,D
437,0.2239,0.0794921734112385,D,D
438,0.2217,0.077905215321359,D,D
439,0.2352,0.0876433672365288,D,D
440,0.239,0.0903844766645026,D,D
441,0.236,0.0882204429055759,D,D
442,0.2201,0.0767510639832648,D,D
443,0.2362,0.0883647118228377,D,D
444,0.2268,0.0815840727115343,D,D
445,0.243,0.0932698550097381,D,D
446,0.2409,0.0917550313784895,D,D
447,0.2308,0.0844694510567698,D,D
448,0.2345,0.0871384260261126,D,D
449,0.2305,0.0842530476808771,D,D
450,0.2388,0.0902402077472408,D,D
451,0.2473,0.0963716367308663,D,D
452,0.2321,0.0854071990189713,D,D
453,0.2443,0.0942076029719396,D,D
454,0.2364,0.0885089807400995,D,D
455,0.2346,0.0872105604847435,D,D
456,0.2405,0.0914664935439659,D,D
457,0.2334,0.0863449469811729,D,D
458,0.2376,0.0893745942436702,D,D
459,0.2327,0.0858400057707566,D,D
460,0.2584,0.1043785616388949,D,D
461,0.2433,0.0934862583856308,D,D
462,0.2377,0.089446728702301,D,D
463,0.2454,0.0950010820168794,D,D
464,0.2431,0.093341989468369,D,D
465,0.2426,0.0929813171752146,D,D
466,0.2496,0.0980307292793767,D,D
467,0.2511,0.09911274615884,D,D
468,0.2411,0.0918993002957512,D,D
469,0.2411,0.0918993002957512,D,D
470,0.2439,0.0939190651374161,D,D
471,0.228,0.0824496862151049,D,D
472,0.2346,0.0872105604847435,D,D
473,0.258,0.1040900238043713,D,D
474,0.2606,0.1059655197287744,D,D
475,0.2458,0.095289619851403,D,D
476,0.2527,0.1002668974969342,D,D
477,0.2509,0.0989684772415783,D,D
478,0.2734,0.115198730433528,D,D
479,0.2581,0.1041621582630022,D,D
480,0.2484,0.0971651157758061,D,D
481,0.2422,0.092692779340691,D,D
482,0.2373,0.0891581908677775,D,D
483,0.2521,0.0998340907451489,D,D
484,0.2448,0.0945682752650941,D,D
485,0.2398,0.0909615523335497,D,D
486,0.2464,0.0957224266031883,D,D
487,0.2432,0.0934141239269999,D,D
488,0.2657,0.1096443771189497,D,D
489,0.2596,0.1052441751424655,D,D
490,0.2528,0.1003390319555651,D,D
491,0.2651,0.1092115703671643,D,D
492,0.2542,0.1013489143763975,D,D
493,0.2471,0.0962273678136045,D,D
494,0.2665,0.1102214527879968,D,D
495,0.2589,0.1047392339320493,D,D
496,0.2467,0.095938829979081,D,D
497,0.2538,0.101060376541874,D,D
498,0.2487,0.0973815191516987,D,D
499,0.245,0.0947125441823559,D,D
500,0.2638,0.1082738224049628,D,D
501,0.272,0.1141888480126956,D,D
502,0.2459,0.0953617543100339,D,D
503,0.2619,0.106903267690976,D,D
504,0.2526,0.1001947630383034,D,D
505,0.2542,0.1013489143763975,D,D
506,0.2537,0.1009882420832431,D,D
507,0.2519,0.0996898218278871,D,D
508,0.2596,0.1052441751424655,D,D
509,0.2529,0.100411166414196,D,D
510,0.262,0.1069754021496068,D,D
511,0.2598,0.1053884440597273,D,D
512,0.2587,0.1045949650147875,D,D
513,0.2537,0.1009882420832431,D,D
514,0.2567,0.1031522758421698,D,D
515,0.2677,0.1110870662915674,D,D
516,0.266,0.1098607804948424,D,D
517,0.2545,0.1015653177522902,D,D
518,0.2635,0.1080574190290701,D,D
519,0.269,0.112024814253769,D,D
520,0.25,0.0983192671139003,D,D
521,0.2681,0.111375604126091,D,D
522,0.2588,0.1046670994734184,D,D
523,0.269,0.112024814253769,D,D
524,0.2587,0.1045949650147875,D,D
525,0.2507,0.0988242083243165,D,D
526,0.2525,0.1001226285796725,D,D
527,0.2662,0.1100050494121041,D,D
528,0.2683,0.1115198730433528,D,D
529,0.2593,0.1050277717665728,D,D
530,0.272,0.1141888480126956,D,D
531,0.254,0.1012046454591358,D,D
532,0.2671,0.1106542595397821,D,D
533,0.2583,0.1043064271802639,D,D
534,0.2631,0.1077688811945466,D,D
535,0.2691,0.1120969487123999,D,D
536,0.2622,0.1071196710668686,D,D
537,0.2663,0.110077183870735,D,D
538,0.2778,0.1183726466132871,D,D
539,0.2655,0.1095001082016879,D,D
540,0.2772,0.1179398398615018,D,D
541,0.2618,0.106831133232345,D,D
542,0.2754,0.1166414196061458,D,D
543,0.2831,0.1221957729207242,D,D
544,0.2521,0.0998340907451489,D,D
545,0.2659,0.1097886460362115,D,D
546,0.2772,0.1179398398615018,D,D
547,0.2714,0.1137560412609103,D,D
548,0.2763,0.1172906297338238,D,D
549,0.2689,0.1119526797951381,D,D
550,0.2748,0.1162086128543605,D,D
551,0.2732,0.1150544615162663,D,D
552,0.2841,0.1229171175070331,D,D
553,0.2772,0.1179398398615018,D,D
554,0.2782,0.1186611844478107,D,D
555,0.2726,0.114621654764481,D,D
556,0.2723,0.1144052513885883,D,D
557,0.2731,0.1149823270576354,D,D
558,0.2801,0.1200317391617976,D,D
